股票代码,分类,出现次数
600141.SH,有色,1
600143.SH,商业航天,1
600150.SH,商业航天,12
600150.SH,船舶,8
600150.SH,船运,7
600150.SH,军工,5
600157.SH,化工,3
600157.SH,有色,1
600160.SH,北美算力,12
600160.SH,化工,2
600172.SH,金刚石,7
600172.SH,人造钻石,2
600176.SH,北美算力,42
600176.SH,化工,25
600183.SH,北美算力,69
600183.SH,半导体,1
600183.SH,消费电子,1
600186.SH,AI应用,4
600186.SH,北美算力,1
600206.SH,半导体,19
600206.SH,北美算力,9
600219.SH,有色,3
600246.SH,半导体,4
600256.SH,化工,3
600276.SH,ҽҩ,44
600276.SH,ҩ,3
600309.SH,化工,15
600310.SH,算电协同,1
600330.SH,北美算力,32
600330.SH,商业航天,2
600338.SH,有色,1
600343.SH,商业航天,2
600352.SH,化工,1
600353.SH,北美算力,1
600360.SH,半导体,1
600362.SH,有色,11
600362.SH,有色&nbsp;,1
600367.SH,北美算力,1
600378.SH,北美算力,18
600378.SH,机器人,1
600378.SH,半导体,1
600392.SH,有色,14
600396.SH,电力,20
600396.SH,算电协同,6
600406.SH,算电协同,3
600406.SH,电网设备,1
600410.SH,AI应用,31
600415.SH,消费,1
600418.SH,新能源,2
600436.SH,ҽҩ,1
600460.SH,半导体,22
600481.SH,商业航天,1
600482.SH,北美算力,1
600487.SH,北美算力,100
600487.SH,商业航天,2
600489.SH,有色,8
600497.SH,有色,3
600498.SH,北美算力,77
600498.SH,商业航天,8
600500.SH,北美算力,1
600519.SH,消费,73
600519.SH,老登,1
600522.SH,北美算力,94
600531.SH,有色,2
600547.SH,有色,6
600549.SH,有色,47
600552.SH,北美算力,3
600552.SH,半导体,1
600578.SH,算电协同,2
600578.SH,电力,1
600580.SH,机器人,3
600580.SH,AI应用,1
600584.SH,半导体,63
600584.SH,半导体&nbsp;,1
600588.SH,AI应用,3
600589.SH,AI应用,1
600601.SH,北美算力,13
600602.SH,AI应用,5
600637.SH,AI应用,3
600641.SH,半导体,2
600654.SH,AI应用,1
600664.SH,ҽҩ,2
600666.SH,AI应用,11
600667.SH,半导体,41
600667.SH,北美算力,1
600673.SH,AI应用,4
